Agency,NameCity,depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,Order,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,drivingTime_hrs,distance_km
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,New Zealand,"Wellington, New Zealand",-41.2864603,174.776236,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Niue,"Alofi, Niue",-19.0553711,-169.9178709,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Palau,Palau,7.51498,134.58252,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Papua New Guinea,"Port Moresby, Papua New Guinea",-9.4438004,147.1802671,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Philippines,"Manila, Philippines",14.5995124,120.9842195,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Samoa,"Apia, Samoa",-13.833333,-171.75,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Tonga,"Nuku'alofa, Tonga",-21.133333,-175.2,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Tuvalu,"Funafuti, Tuvalu",-8.516667,179.216667,1000000,1000000
RED CROSS,Pohnpei,Federated States of Micronesia,"Pohnpei, Federated States of Micronesia",6.960506,158.211436,4,Vanuatu,"Port Vila, Vanuatu",-17.7332512,168.3273245,1000000,1000000
WORLD VISION,Lae,Papua New Guinea,"Lae, Papua New Guinea",-6.716667,146.983333,5,Wallis and Futuna,"Mata'utu, Wallis and Futuna",-13.2825091,-176.1764475,1000000,1000000
